date	txCount	price(USD)
2016-06-29	49897	12.17
2016-06-30	63952	12.6
2016-07-01	40085	12.44
2016-07-02	39257	12.22
2016-07-03	39757	12.12
2016-07-04	39950	11.7
2016-07-05	39270	11.46
2016-07-06	37900	10.58
2016-07-07	40433	10.54
2016-07-08	42506	10.12
2016-07-09	40410	11.42
2016-07-10	39358	10.96
2016-07-11	38582	10.94
2016-07-12	40811	10.45
2016-07-13	35740	10.51
2016-07-14	42809	10.6
2016-07-15	41110	11.5
2016-07-16	38062	11.92
2016-07-17	33914	11.62
2016-07-18	39198	11.17
2016-07-19	44184	11.05
2016-07-20	50631	11.59
2016-07-21	44882	12.46
2016-07-22	48458	12.66
2016-07-23	45006	14.67
2016-07-24	58215	14.3
2016-07-25	54856	12.74
2016-07-26	61930	13.82
2016-07-27	53035	12.05
2016-07-28	48555	12.98
2016-07-29	47243	12.84
2016-07-30	42011	12.8
2016-07-31	48749	12.44
2016-08-01	45978	11.89
2016-08-02	49041	10.95
2016-08-03	49475	8.88
2016-08-04	46761	10.31
2016-08-05	43212	11.02
2016-08-06	41487	10.92
2016-08-07	42955	10.86
2016-08-08	42984	10.91
2016-08-09	47057	11.27
2016-08-10	46290	12.23
2016-08-11	48171	12.14
2016-08-12	44400	11.69
2016-08-13	41088	11.77
2016-08-14	40577	11.58
2016-08-15	42302	11.2
2016-08-16	48949	11.23
2016-08-17	44867	11.13
2016-08-18	47799	10.75
2016-08-19	42948	10.75
2016-08-20	41318	10.75
2016-08-21	42543	11.25
2016-08-22	44250	11.19
2016-08-23	48430	11.14
2016-08-24	46821	11.02
2016-08-25	49868	11.03
2016-08-26	47292	11.35
2016-08-27	47938	11.29
2016-08-28	42607	11.15
2016-08-29	45510	10.92
2016-08-30	46979	10.99
2016-08-31	45846	11.24
2016-09-01	47491	11.67
2016-09-02	55413	11.96
2016-09-03	44792	12.11
2016-09-04	48128	11.75
2016-09-05	42667	11.68
2016-09-06	49102	11.73
2016-09-07	48701	11.69
2016-09-08	55970	11.55
2016-09-09	53918	11.41
2016-09-10	42875	11.66
2016-09-11	43345	12.21
2016-09-12	45123	11.64
2016-09-13	42591	11.89
2016-09-14	53859	11.9
2016-09-15	52622	11.94
2016-09-16	57532	11.96
2016-09-17	46882	12.56
2016-09-18	37893	12.69
2016-09-19	40505	12.44
2016-09-20	54067	13.21
2016-09-21	44549	14.43
2016-09-22	52657	13.66
2016-09-23	35219	13.21
2016-09-24	43418	13.32
2016-09-25	38713	12.85
2016-09-26	43514	13.17
2016-09-27	46817	12.86
2016-09-28	42797	13.11
2016-09-29	40416	13.28
2016-09-30	35836	13.08
2016-10-01	53076	13.2
2016-10-02	51105	13.18
2016-10-03	47672	13.2
2016-10-04	56662	13.45
2016-10-05	41719	13.28
2016-10-06	36826	13.03
2016-10-07	43708	12.85
2016-10-08	37690	12.67
2016-10-09	43940	12.22
2016-10-10	44940	12.06
2016-10-11	41053	11.76
2016-10-12	30002	11.78
2016-10-13	32244	11.91
2016-10-14	42006	11.99
2016-10-15	33662	11.94
2016-10-16	34990	11.98
2016-10-17	38136	11.96
2016-10-18	51898	12
2016-10-19	38497	12.59
2016-10-20	43438	12.05
2016-10-21	57780	12.13
2016-10-22	37772	12.18
2016-10-23	35364	12.13
2016-10-24	52547	12.04
2016-10-25	47610	11.97
2016-10-26	45158	11.38
2016-10-27	44353	11.53
2016-10-28	41522	11.47
2016-10-29	40011	11.1
2016-10-30	39435	10.43
2016-10-31	45031	11.23
2016-11-01	49025	10.96
2016-11-02	43519	10.77
2016-11-03	42346	10.8
2016-11-04	32572	10.82
2016-11-05	37690	11.09
2016-11-06	34391	10.99
2016-11-07	41941	10.9
2016-11-08	41569	10.85
2016-11-09	40517	10.82
2016-11-10	40164	10.67
2016-11-11	41070	10.51
2016-11-12	40882	10.29
2016-11-13	43673	9.89
2016-11-14	43876	10.1
2016-11-15	45330	9.97
2016-11-16	41684	10.22
2016-11-17	40738	10.06
2016-11-18	43785	9.99
2016-11-19	39289	9.48
2016-11-20	42125	9.66
2016-11-21	42735	9.58
2016-11-22	53585	9.63
2016-11-23	64289	9.92
2016-11-24	36861	9.85
2016-11-25	58075	9.23
2016-11-26	40804	9.42
2016-11-27	44449	9.31
2016-11-28	48388	9
2016-11-29	47036	8.73
2016-11-30	39178	8.16
2016-12-01	37121	8.6
2016-12-02	41642	8.46
2016-12-03	41357	7.77
2016-12-04	39643	7.9
2016-12-05	41613	7.41
2016-12-06	48200	6.8
2016-12-07	41757	7.89
2016-12-08	39587	8.38
2016-12-09	41444	8.17
2016-12-10	40564	8.44
2016-12-11	39164	8.13
2016-12-12	38741	8.19
2016-12-13	44664	8.52
2016-12-14	47294	8.45
2016-12-15	46102	8.24
2016-12-16	43953	7.86
2016-12-17	39442	7.86
2016-12-18	36640	7.86
2016-12-19	45599	7.87
2016-12-20	44241	7.63
2016-12-21	50793	7.66
2016-12-22	55173	7.9
2016-12-23	44391	7.58
2016-12-24	37757	7.15
2016-12-25	36601	7.26
2016-12-26	34565	7.13
2016-12-27	42370	7.28
2016-12-28	43386	7.15
2016-12-29	46546	7.54
2016-12-30	44561	8.29
2016-12-31	41220	8.15
2017-01-01	38730	7.98
2017-01-02	39652	8.17
2017-01-03	45883	8.37
2017-01-04	50673	9.71
2017-01-05	49596	11.29
2017-01-06	43804	10.29
2017-01-07	43622	10.24
2017-01-08	42727	9.87
2017-01-09	46188	10.31
2017-01-10	48179	10.37
2017-01-11	45221	10.54
2017-01-12	50589	9.72
2017-01-13	50833	9.83
2017-01-14	42044	9.79
2017-01-15	41748	9.83
2017-01-16	45375	9.88
2017-01-17	46671	9.64
2017-01-18	44994	10.3
2017-01-19	43628	10.24
2017-01-20	45775	10.39
2017-01-21	43302	10.6
2017-01-22	47432	10.91
2017-01-23	46076	10.71
2017-01-24	50414	10.73
2017-01-25	46256	10.62
2017-01-26	46856	10.57
2017-01-27	46680	10.58
2017-01-28	45189	10.54
2017-01-29	42509	10.56
2017-01-30	45369	10.49
2017-01-31	43649	10.56
2017-02-01	44541	10.74
2017-02-02	43709	10.74
2017-02-03	42778	10.81
2017-02-04	45410	11.13
2017-02-05	46542	11.44
2017-02-06	47306	11.35
2017-02-07	51866	11.43
2017-02-08	51089	11.54
2017-02-09	47873	11.44
2017-02-10	52222	11.04
2017-02-11	46560	11.29
2017-02-12	45319	11.35
2017-02-13	55990	11.38
2017-02-14	58298	11.29
2017-02-15	55320	13.04
2017-02-16	49674	12.92
2017-02-17	49406	12.9
2017-02-18	49398	12.71
2017-02-19	48227	12.82
2017-02-20	50152	12.77
2017-02-21	58434	12.34
2017-02-22	50372	12.69
2017-02-23	47601	12.6
2017-02-24	54081	13.13
2017-02-25	53245	13.06
2017-02-26	51716	13.52
2017-02-27	52642	14.51
2017-02-28	60277	15.45
2017-03-01	59774	15.85
2017-03-02	70779	17.36
2017-03-03	64294	19.04
2017-03-04	58756	19.52
2017-03-05	57031	18.5
2017-03-06	57020	19.28
2017-03-07	62589	19.58
2017-03-08	55386	18.88
2017-03-09	64266	16.64
2017-03-10	65132	17.74
2017-03-11	64803	19.37
2017-03-12	66646	21.46
2017-03-13	81718	23.5
2017-03-14	77155	28.57
2017-03-15	81205	28.65
2017-03-16	109950	35.36
2017-03-17	106635	45.93
2017-03-18	89920	46.87
2017-03-19	84599	35.53
2017-03-20	80264	44.83
2017-03-21	84298	43.51
2017-03-22	78821	43.12
2017-03-23	82434	42.57
2017-03-24	87775	43.64
2017-03-25	84394	53.58
2017-03-26	79534	50.77
2017-03-27	94570	51.31
2017-03-28	84348	49.71
2017-03-29	93064	50.57
2017-03-30	96209	53.12
2017-03-31	103102	51.75
2017-04-01	80572	50.03
2017-04-02	88948	50.74
2017-04-03	100221	48.82
2017-04-04	86279	43.92
2017-04-05	87411	44.66
2017-04-06	95177	45.22
2017-04-07	92846	42.87
2017-04-08	72144	41.8
2017-04-09	74557	44.28
2017-04-10	75487	43.28
2017-04-11	75891	43.5
2017-04-12	80347	43.46
2017-04-13	84124	46.31
2017-04-14	81155	49.97
2017-04-15	74820	47.65
2017-04-16	70634	49.04
2017-04-17	72546	48.66
2017-04-18	83303	48.32
2017-04-19	85734	50.73
2017-04-20	85450	48.13
2017-04-21	81278	49.64
2017-04-22	73539	48.18
2017-04-23	77073	48.59
2017-04-24	80531	48.87
2017-04-25	93033	50.07
2017-04-26	89642	49.91
2017-04-27	104494	52.81
2017-04-28	106193	62.23
2017-04-29	91335	71.39
2017-04-30	95202	68.54
2017-05-01	112202	79.32
2017-05-02	110354	76.65
2017-05-03	97334	77.25
2017-05-04	114877	79.72
2017-05-05	108514	96.73
2017-05-06	95014	94.91
2017-05-07	106631	97.87
2017-05-08	117509	93.75
2017-05-09	112933	91.23
2017-05-10	109673	91.15
2017-05-11	117189	89.77
2017-05-12	107241	89.43
2017-05-13	101332	88.69
2017-05-14	101348	90.87
2017-05-15	122792	90.78
2017-05-16	116341	92.39
2017-05-17	140135	89.25
2017-05-18	137409	89.84
2017-05-19	161568	97.05
2017-05-20	130912	129.22
2017-05-21	149699	127.54
2017-05-22	176255	158.17
2017-05-23	187121	170.82
2017-05-24	187293	182.65
2017-05-25	183010	189.85
2017-05-26	169818	175.22
2017-05-27	149450	159.82
2017-05-28	155271	158.82
2017-05-29	158547	170.13
2017-05-30	193618	195.61
2017-05-31	214126	231.58
2017-06-01	199160	230.89
2017-06-02	194911	222.29
2017-06-03	175666	223.46
2017-06-04	180136	224.12
2017-06-05	190305	245.26
2017-06-06	200523	248.6
2017-06-07	207180	264.26
2017-06-08	187700	257.99
2017-06-09	215831	261.75
2017-06-10	213356	282.01
2017-06-11	240490	338.79
2017-06-12	292941	341.16
2017-06-13	280054	395.69
2017-06-14	250410	397.59
2017-06-15	261617	358.51
2017-06-16	248003	361.18
2017-06-17	242022	369.88
2017-06-18	245957	379.52
2017-06-19	286209	371.86
2017-06-20	308488	370.33
2017-06-21	221289	359.54
2017-06-22	284225	337.73
2017-06-23	276012	336.49
2017-06-24	250570	341.63
2017-06-25	231135	323.47
2017-06-26	316788	302.95
2017-06-27	252995	272.69
2017-06-28	274241	293.04
2017-06-29	263791	328.37
2017-06-30	252652	303.15
2017-07-01	240465	293.35
2017-07-02	248617	275.12
2017-07-03	302032	288.41
2017-07-04	281465	282.19
2017-07-05	271606	273.1
2017-07-06	258791	268.86
2017-07-07	295389	270.35
2017-07-08	248142	245.89
2017-07-09	225189	251.82
2017-07-10	302633	243.01
2017-07-11	291677	211.53
2017-07-12	283828	197.15
2017-07-13	260745	231.81
2017-07-14	249381	209.53
2017-07-15	231961	199.71
2017-07-16	249138	169.57
2017-07-17	248473	159.99
2017-07-18	271055	195.03
2017-07-19	270122	234.94
2017-07-20	250065	205.42
2017-07-21	232560	226.06
2017-07-22	205574	217.86
2017-07-23	260490	229.12
2017-07-24	263095	226.28
2017-07-25	242956	224.37
2017-07-26	223010	207.09
2017-07-27	225435	204.86
2017-07-28	246494	204.32
2017-07-29	198773	193.34
2017-07-30	206624	206.74
2017-07-31	250090	197.41
2017-08-01	218582	204.69
2017-08-02	231068	227.01
2017-08-03	236335	220.18
2017-08-04	257160	225.31
2017-08-05	261400	222.85
2017-08-06	265127	256.42
2017-08-07	281172	261.24
2017-08-08	318866	269.1
2017-08-09	280308	297.63
2017-08-10	338241	296.96
2017-08-11	356682	294.5
2017-08-12	338654	308.71
2017-08-13	333011	310.37
2017-08-14	410061	298.03
2017-08-15	413246	299.95
2017-08-16	413624	289.82
2017-08-17	428007	302.81
2017-08-18	443356	301.7
2017-08-19	377418	296.18
2017-08-20	309926	296.64
2017-08-21	392880	300.48
2017-08-22	364727	321.06
2017-08-23	374711	315.27
2017-08-24	352465	317.45
2017-08-25	352621	326.11
2017-08-26	306268	331.99
2017-08-27	324173	334.36
2017-08-28	363799	350.04
2017-08-29	394649	347.96
2017-08-30	400220	369.47
2017-08-31	384421	378.44
2017-09-01	390997	383.47
2017-09-02	331797	387.82
2017-09-03	302525	350.23
2017-09-04	442592	347.13
2017-09-05	444572	297.57
2017-09-06	496376	313.8
2017-09-07	448347	333.52
2017-09-08	463670	329.64
2017-09-09	383654	296.17
2017-09-10	325128	294.06
2017-09-11	365384	289.75
2017-09-12	404898	294.63
2017-09-13	365679	291.12
2017-09-14	380251	276.59
2017-09-15	441767	215.22
2017-09-16	373764	250.87
2017-09-17	289517	245.85
2017-09-18	362764	252.23
2017-09-19	337752	293.66
2017-09-20	324984	282.01
2017-09-21	317074	283.26
2017-09-22	271470	258.11
2017-09-23	260107	264.6
2017-09-24	280929	286.21
2017-09-25	306614	282.22
2017-09-26	306075	292.35
2017-09-27	309047	287.02
2017-09-28	329208	306.47
2017-09-29	326502	299.12
2017-09-30	295798	291.48
2017-10-01	283871	301.55
2017-10-02	306095	302.48
2017-10-03	327906	297.48
2017-10-04	307399	292.75
2017-10-05	314808	292.77
2017-10-06	319882	295.15
2017-10-07	291091	308.89
2017-10-08	296829	311.06
2017-10-09	328172	308.67
2017-10-10	349605	297.6
2017-10-11	344305	301.18
2017-10-12	363411	303.5
